A_id,Sizes,Weights,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality,,,size,weight,sweet,crunch,juicines,rip,acidity,resa,
62,-3.341493048,-1.355556544,1.433646684,1.722356677,0.112911807,0.68878842,1.619183695,bad,,,0.281028939,0.447761964,0.6276193,0.56873608,0.455851129,0.500165583,0.598651246,0,
63,0.455312607,-2.382895446,-0.83742965,-2.36617514,-0.276460122,0.852335249,-0.031126053,good,,,0.561069215,0.368372911,0.456467917,0.269755543,0.426632821,0.512647753,0.48416784,1,
64,-2.236188121,-1.174561063,1.482703478,-0.277161056,1.497598428,1.075731385,-0.936970586,good,,,0.362552705,0.461748644,0.631316287,0.422518094,0.559757436,0.529697723,0.421328626,1,
65,-3.567897971,1.043742178,2.563399581,0.437276711,1.678518225,-5.313838222,2.071983608,good,,,0.264330034,0.633171134,0.712759006,0.474762518,0.573333583,0.042034986,0.630062365,1,
66,-2.188932795,2.131754258,0.260841291,3.886048374,-3.196263115,-3.560593877,0.089512941,good,,,0.366038107,0.717248792,0.5392351,0.726959553,0.207532019,0.175845554,0.492536671,1,
67,-1.569763886,1.059864965,1.518880096,1.666096276,3.068931353,-1.48035112,2.769458608,bad,,,0.411706031,0.634417045,0.634042606,0.564621947,0.677669605,0.334613192,0.678446806,0,
68,-1.129060897,-0.257836171,-1.942238912,-0.020934662,-0.724138915,2.662111019,-0.112472887,bad,,,0.444210878,0.532589844,0.373207998,0.441255066,0.393039191,0.650772894,0.47852474,0,
69,-0.399608624,-3.198174574,-1.250639262,2.909277682,-2.314037098,-0.231112054,-3.029392365,bad,,,0.498012951,0.305371075,0.425327882,0.655531608,0.273733893,0.429957226,0.276175528,0,
70,0.610132436,-3.460818667,1.336759306,0.387451504,-0.136781229,2.988645551,-2.044768947,bad,,,0.572488232,0.285074885,0.620317737,0.471118969,0.437114267,0.675694561,0.344479701,0,
71,2.354402289,-2.660270254,2.615415905,-3.291210248,4.604454116,-1.240117421,3.689580857,good,,,0.701140013,0.346938385,0.716679027,0.202110847,0.792894594,0.352948233,0.742276477,1,
72,0.562851227,-1.827989146,-4.622243679,-0.32573547,2.578804915,2.481541376,1.152768549,bad,,,0.56900092,0.411254073,0.171239215,0.418966011,0.640890721,0.636991514,0.566295626,0,
73,0.039413688,-1.137430244,0.477732329,1.656480571,-3.256232026,-0.503584221,0.528698798,bad,,,0.530393837,0.46461798,0.555580302,0.563918783,0.203031977,0.40916169,0.523003371,0,
74,-2.159610389,-1.295959495,-1.732435214,0.080724492,-1.95961421,2.723039718,-1.47788311,bad,,,0.368200834,0.45236741,0.389019088,0.448689057,0.300329639,0.655423075,0.383805059,0,
75,2.160591551,-1.608127507,-3.149539978,1.354258442,2.169308776,0.561455393,1.466043609,good,,,0.686845151,0.428244189,0.282224157,0.541818298,0.610162301,0.490447311,0.588027787,1,
76,2.249782051,1.30681125,-3.362142903,-3.292343017,1.536373323,2.322693886,0.171703758,good,,,0.693423558,0.653500165,0.266202113,0.202028011,0.562667088,0.624868006,0.498238318,1,
77,0.913367079,0.238227626,-0.86645313,0.411078967,0.777247078,-0.690557676,0.269081521,bad,,,0.594853852,0.570923869,0.454280669,0.472846765,0.505702571,0.394891561,0.504993498,0,
78,-2.178068955,0.711060019,-2.723528183,-0.79461916,1.371632238,2.661669238,-1.43801903,bad,,,0.366839389,0.607462654,0.314328982,0.384678129,0.550304986,0.650739177,0.386570465,0,
79,-2.1674624,-1.72966774,1.292344082,2.343027022,0.313248004,-0.90759004,-1.78744711,bad,,,0.367621695,0.418851998,0.616970545,0.614123608,0.470884273,0.378327284,0.362330338,0,
80,1.906895248,-0.286557035,-0.642276275,-0.909686603,0.56727051,0.447676716,2.331284997,good,,,0.668133321,0.530370399,0.47117494,0.376263635,0.489946017,0.481763531,0.648050326,1,
81,-2.451373743,-2.460445365,3.310559586,1.100072267,1.667256216,-0.01057985,-0.908360248,good,,,0.3466813,0.362380133,0.769065994,0.523230521,0.572488486,0.446788616,0.42331335,1,
82,2.355047056,-0.805007082,-4.046869242,-0.621273549,2.721016877,1.403612449,-1.735117708,bad,,,0.701187569,0.490306445,0.214600211,0.397354309,0.651562248,0.554722159,0.365960474,0,
83,1.41034947,-6.235107041,0.60667877,2.781526465,0.188419279,-1.655568486,1.787465613,good,,,0.631509688,0.070687864,0.56529788,0.646189593,0.461517178,0.321240307,0.610325107,1,
84,1.75626858,-2.078246123,-1.347003072,1.570705713,0.205594839,3.33230319,-0.159879504,good,,,0.657023578,0.391915115,0.418065775,0.557646357,0.462806025,0.701923092,0.475236102,1,
85,-0.490313544,-2.693594239,-2.262928126,1.408218703,0.894130314,4.097052626,-1.192975776,bad,,,0.491322846,0.344363227,0.349040425,0.54576423,0.51447344,0.76029006,0.403569326,0,
86,1.889651879,-1.234884586,-2.003226871,1.618220275,0.360724332,2.712213587,0.124914362,good,,,0.666861505,0.457087059,0.368611863,0.561120936,0.474446877,0.654596807,0.494992498,1,
87,0.523551092,-0.785293429,0.307177459,-0.773882387,1.220446256,-1.329702358,1.355485212,good,,,0.566102268,0.491829845,0.542727057,0.38619454,0.538960053,0.34611096,0.580358256,1,
88,-1.44761768,-0.40082252,-2.015819355,0.519147662,0.92156357,2.63835347,-0.52902919,bad,,,0.420715146,0.521540373,0.367662876,0.480749464,0.51653202,0.648959678,0.449627871,0,
89,1.288315468,0.118324055,-2.03989032,1.254207548,0.421780581,0.273822524,0.064352175,bad,,,0.622508849,0.561658152,0.365848856,0.534501914,0.479028513,0.468494685,0.490791247,0,
90,0.516948121,0.643780506,-2.752877948,1.265938234,0.714290184,1.041064133,-2.967415983,good,,,0.565615254,0.602263536,0.312117144,0.535359739,0.500978312,0.52705186,0.280474883,1,
91,-0.629540613,-1.16111198,-0.33009969,0.930469883,2.087489482,0.369549864,-4.560905342,good,,,0.481053901,0.46278794,0.494700989,0.51082807,0.604022616,0.475800757,0.169933156,1,
92,-0.691713124,-2.431340292,-0.909663545,2.428320647,0.242079363,2.313575569,1.285942944,bad,,,0.476468255,0.364629268,0.451024274,0.620360843,0.465543808,0.62417208,0.575534049,0,
93,-2.090430519,-2.261319641,3.822713915,-0.512140853,0.660595132,0.663423371,-1.714085315,good,,,0.373303321,0.377767852,0.807662637,0.405334815,0.496949057,0.498229679,0.367419509,1,
94,0.097397568,-2.090139656,-5.018889094,0.173397255,1.524662353,5.278448329,-1.700396069,bad,,,0.534670543,0.390996025,0.14134748,0.455465904,0.561788302,0.850456174,0.368369144,0,
95,1.372602617,-0.81619118,-1.138033248,1.948956568,-0.222231916,-0.561915322,1.65215817,good,,,0.628725601,0.489442178,0.433814024,0.585306565,0.430702083,0.404709762,0.600938714,1,
96,-0.618111889,-2.131703542,-1.580025186,-0.195316309,3.625676756,3.259309401,-1.633641993,bad,,,0.481896847,0.387784118,0.400504914,0.428503125,0.719447549,0.696352083,0.372999932,0,
97,1.80336603,-0.976044046,-1.54691943,0.926305296,3.13968117,-0.683222706,3.401455383,good,,,0.660497336,0.477089324,0.402999808,0.510523528,0.682978642,0.395451378,0.722288965,1,
98,-0.201342768,0.579131757,-2.126035342,3.129284882,-4.401848909,-0.552627575,-2.249965831,good,,,0.512636409,0.597267713,0.35935685,0.671619992,0.117065363,0.405418619,0.330245017,1,
99,-1.159324283,0.723172074,-0.040253594,-0.748296452,0.677957479,1.25184885,-2.146023387,good,,,0.441978747,0.60839863,0.516544183,0.388065553,0.498251921,0.543139305,0.337455594,1,
100,-1.581378996,-0.759501459,0.135359641,1.881819633,1.998052361,0.729362217,0.286883321,good,,,0.410849338,0.493822956,0.529778634,0.580397068,0.597311291,0.503262243,0.506228424,1,
101,-1.111426668,-2.084750358,2.519879958,0.918003904,1.377124216,0.937208835,-0.894186563,good,,,0.445511523,0.391412491,0.709479309,0.509916475,0.550717102,0.519125448,0.424296591,1,
102,-1.921823652,-3.481362426,0.441475743,1.777523431,-0.283584197,0.82291936,-3.504485228,bad,,,0.385739226,0.283487337,0.552847957,0.572770238,0.426098233,0.510402682,0.243217928,0,
103,-1.96733108,0.77615106,0.271438354,0.695994122,2.157869261,-0.070030044,-1.521261721,good,,,0.382382743,0.612492656,0.540033709,0.493681649,0.609303885,0.442251277,0.380795848,1,
104,-1.572555914,-0.009042436,1.969436236,1.884461994,0.977655875,-0.655248809,2.127518998,bad,,,0.4115001,0.551815728,0.667997126,0.580590295,0.520741164,0.397586393,0.633914903,0,
105,-0.426619219,-1.436843963,-0.660813891,-0.560818317,-1.871932248,1.269263936,-1.751339472,bad,,,0.496020736,0.441480365,0.46977792,0.401775196,0.306909257,0.544468454,0.364835156,0,
106,-0.725181296,-1.447133711,1.840994287,3.086182479,2.229221836,0.555091226,3.040761752,good,,,0.473999749,0.44068521,0.658317567,0.668468059,0.614658153,0.489961587,0.697267338,1,
107,1.307057369,-2.355362326,-1.47080157,-1.043470187,1.835902543,0.113930514,-0.055333999,good,,,0.623891192,0.370500572,0.408736153,0.366480493,0.585143636,0.456291457,0.482488514,1,
108,0.137097813,-3.035084729,-0.440600718,1.444977828,-3.824202947,0.85011358,-1.611571284,bad,,,0.537598706,0.317974071,0.486373482,0.548452301,0.160411676,0.512478191,0.374530996,0,
109,1.646001232,-3.027517619,0.250956223,0.965901296,-1.553907902,2.084908726,-0.474934654,bad,,,0.64889061,0.31855883,0.538490148,0.51341905,0.330773671,0.606719841,0.453380456,0,
110,1.438906462,-1.219056994,-0.337509507,-0.394803416,-1.117118275,3.082653988,-1.746685633,good,,,0.633615961,0.458310158,0.494142575,0.413915306,0.363550183,0.682869443,0.365157997,1,
111,-1.213074179,-0.24908012,-0.002478363,2.509596721,1.498529064,0.755573897,-0.362616748,good,,,0.438014326,0.53326648,0.519390975,0.626304288,0.559827271,0.505262763,0.461172046,1,
112,1.051510414,-4.311975447,-1.399048336,-2.791214794,4.268753723,0.501451971,1.61098811,good,,,0.605042864,0.219300552,0.414143574,0.238673827,0.767703777,0.485867749,0.598082711,1,
113,-2.030890826,-1.642489803,-0.557159577,0.481269904,1.198923061,-0.083993546,5.381199793,bad,,,0.377694779,0.425588795,0.477589449,0.477979592,0.537344961,0.441185559,0.859625537,0,
114,-1.712198696,-2.529664978,-2.066911436,0.443358568,3.54650754,1.021727292,5.170171939,bad,,,0.401200494,0.35703109,0.363812508,0.475207264,0.713506724,0.525576039,0.844986353,0,
115,0.104978369,-1.600940028,-0.787057496,2.34568665,2.323311417,0.530314357,1.789687083,bad,,,0.535229679,0.428799612,0.460264031,0.614318098,0.621718596,0.488070575,0.610479213,0,
116,-1.051734165,-3.067908145,-2.904858823,-0.622345331,3.705094866,3.241975298,0.639425812,bad,,,0.449914251,0.315437596,0.30066366,0.397275933,0.725407051,0.695029115,0.530684599,0,
117,-1.447494934,-1.136977946,-0.836801233,1.932464027,-1.512099553,0.801874172,2.669102823,bad,,,0.420724199,0.464652932,0.456515276,0.584100521,0.333910952,0.508796478,0.671485039,0,
118,-3.010134336,1.548268357,-0.568293032,0.209247169,2.317043914,-1.242233911,-2.727464441,good,,,0.305468901,0.672159101,0.476750417,0.458087487,0.621248285,0.352786699,0.297120528,1,
119,-0.591987065,-2.618652027,-1.073478951,1.114681034,-2.536374537,1.75475805,-1.660639485,bad,,,0.483823731,0.350154491,0.438678923,0.52429881,0.257049784,0.581522184,0.371127092,0,
120,-3.835874261,-0.838795598,1.412859983,2.251267651,-0.343720948,0.946562081,1.66131914,bad,,,0.244564957,0.48769539,0.626052787,0.607413555,0.421585597,0.519839304,0.601574218,0,
121,-0.776404994,-0.116796706,-1.813091624,1.241549833,-0.577928389,1.3258787,0.224019932,bad,,,0.470221653,0.543488866,0.382940712,0.533576298,0.404010768,0.548789388,0.501867536,0,
122,-3.202902826,-0.849827194,-1.106207159,0.473819325,-0.023440485,2.356287012,-1.590747921,bad,,,0.291250911,0.486842908,0.436212481,0.477434756,0.445619309,0.62743189,0.37597553,0,
123,0.695632239,-1.669059782,-1.442125181,2.189043678,-2.767055359,0.764050341,-0.12163975,bad,,,0.578794424,0.423535562,0.410897245,0.602863326,0.239739591,0.5059097,0.477888827,0,
124,0.089707401,-2.249989911,-2.673620318,2.762214054,0.035969561,-0.903596811,-1.456133779,good,,,0.534103341,0.378643373,0.318090106,0.644777341,0.450077414,0.378632054,0.385313829,1,
125,-2.229105842,-1.097255857,3.589921649,0.140221663,1.563118086,-0.161918178,-1.335152047,good,,,0.363075071,0.467722512,0.790119097,0.453039884,0.564674004,0.435238219,0.393706436,1,
126,-2.245482916,-0.047701365,0.250696269,0.771605049,2.243000186,-0.687586724,3.378856539,bad,,,0.361867151,0.548828305,0.538470558,0.499210821,0.615692074,0.395118309,0.720721264,0,
127,-3.715530466,0.002641572,1.683646065,0.094039461,3.192435018,-1.013795897,4.43608798,bad,,,0.253441132,0.552718626,0.646459592,0.449662736,0.686937269,0.370221474,0.794062318,0,
128,-2.454612376,-0.386469591,-1.073484764,0.914051503,1.925401868,2.438000463,0.338913734,bad,,,0.346442429,0.522649516,0.438678485,0.50962745,0.591859629,0.633668398,0.509837818,0,
129,-1.162845918,-1.416945478,0.440112947,2.653944392,-0.095678282,-0.95044423,3.145872884,bad,,,0.441719003,0.443018048,0.552745255,0.636859946,0.440198615,0.37505658,0.704558988,0,
130,-3.423662708,-1.835010061,0.79489908,-0.557657446,4.606234531,0.177582667,3.766012647,bad,,,0.274968367,0.410711522,0.579482417,0.40200634,0.793028196,0.461149497,0.747578616,0,
131,1.74387082,1.632728712,-1.279297479,2.758798983,-2.420213906,-0.214932142,2.064118217,good,,,0.656109159,0.678685894,0.42316816,0.644527609,0.265766429,0.431192104,0.629516736,1,
132,-2.267533079,-0.995608169,2.254678222,-0.620752464,-0.772808023,1.336250891,-0.320548874,good,,,0.360240801,0.475577479,0.689493347,0.397392414,0.389387081,0.549581011,0.46409033,1,
133,4.420781942,-2.547671341,-1.756285833,0.901810165,-0.41284149,1.987165436,1.613529813,good,,,0.853549586,0.355639623,0.387221673,0.508732282,0.41639882,0.599259908,0.598259031,1,
134,0.132455297,-3.037876516,-2.464537418,1.619229919,0.300120344,2.110550784,-3.408117425,bad,,,0.537256289,0.317758332,0.333846876,0.561194768,0.469899179,0.608676886,0.249903045,0,
135,1.482288925,-0.107158332,-0.746690054,-0.561767309,2.996683488,-0.907478278,2.288403252,good,,,0.636815713,0.544233685,0.463306176,0.401705799,0.672248156,0.378335814,0.645075582,1,
136,0.019720454,-0.591226131,-1.739235973,0.001208279,0.695052559,-0.018453271,1.307264909,bad,,,0.528941327,0.506826668,0.388506574,0.442874305,0.499534728,0.446187703,0.577013172,0,
137,0.263844265,-2.896271718,-0.157614476,-0.184619255,-2.848897253,0.40465954,-3.04217039,bad,,,0.546947121,0.328701041,0.507699708,0.429285364,0.233598209,0.478480387,0.275289106,0,
138,-0.820988945,0.934444962,-1.336150538,2.18383263,0.632514819,1.420930219,2.434754044,good,,,0.466933283,0.624725039,0.418883637,0.602482259,0.494841922,0.556043881,0.655228062,1,
139,0.031054092,0.563083299,0.380777887,1.308722315,0.317110162,0.435548896,-2.336331708,good,,,0.52977726,0.596027546,0.548273684,0.538488395,0.471174088,0.480837915,0.324253742,1,
140,1.096306694,-2.511438246,-3.217207284,1.956905463,-1.502347429,2.892814192,-0.946008716,bad,,,0.608346894,0.358439587,0.277124658,0.585887841,0.334642748,0.66838055,0.420701643,0,
141,-2.5046086,-3.10825316,-1.138621602,1.002183537,-2.206212956,1.81162049,-3.692780634,bad,,,0.342754867,0.312319878,0.433769685,0.516072248,0.281824971,0.585862021,0.230155714,0,
